frame,time_sec,left_ratio,right_ratio,avg_ratio,blink_event
382,12.746,0.22742,0.26556,0.24649,0
383,12.779,0.22707,0.26591,0.24649,0
384,12.813,0.23444,0.2601,0.24727,0
385,12.846,0.22856,0.26462,0.24659,0
386,12.88,0.22845,0.26077,0.24461,0
387,12.913,0.23271,0.26835,0.25053,0
388,12.946,0.23212,0.26877,0.25044,0
389,12.98,0.22605,0.2667,0.24638,0
390,13.013,0.23501,0.26618,0.25059,0
391,13.046,0.23426,0.26612,0.25019,0
392,13.08,0.23729,0.27363,0.25546,0
393,13.113,0.23437,0.26779,0.25108,0
394,13.146,0.23365,0.26824,0.25094,0
395,13.18,0.23188,0.26959,0.25074,0
396,13.213,0.23734,0.26764,0.25249,0
397,13.247,0.23556,0.2736,0.25458,0
398,13.28,0.22957,0.27294,0.25125,0
399,13.313,0.22502,0.27561,0.25032,0
400,13.347,0.23266,0.26861,0.25063,0
401,13.38,0.23534,0.27005,0.2527,0
402,13.413,0.2391,0.26761,0.25336,0
403,13.447,0.23012,0.27427,0.2522,0
404,13.48,0.24144,0.27584,0.25864,0
405,13.514,0.23387,0.2808,0.25734,0
406,13.547,0.23838,0.27713,0.25775,0
407,13.58,0.2333,0.28521,0.25925,0
408,13.614,0.23081,0.28603,0.25842,0
409,13.647,0.22952,0.28278,0.25615,0
410,13.68,0.23207,0.2837,0.25789,0
411,13.714,0.23393,0.27678,0.25535,0
412,13.747,0.23752,0.28007,0.25879,0
413,13.78,0.23449,0.27275,0.25362,0
414,13.814,0.2309,0.27234,0.25162,0
415,13.847,0.23097,0.27472,0.25284,0
416,13.881,0.23103,0.27538,0.25321,0
417,13.914,0.23032,0.28154,0.25593,0
418,13.947,0.2339,0.28575,0.25982,0
419,13.981,0.22965,0.28057,0.25511,0
420,14.014,0.23636,0.2821,0.25923,0
421,14.047,0.22732,0.27916,0.25324,0
422,14.081,0.22404,0.2836,0.25382,0
423,14.114,0.21993,0.27078,0.24535,0
424,14.147,0.22533,0.28996,0.25765,0
425,14.181,0.22113,0.28686,0.25399,0
426,14.214,0.21626,0.28303,0.24964,0
427,14.248,0.21272,0.27962,0.24617,0
428,14.281,0.22031,0.28046,0.25039,0
429,14.314,0.22452,0.27689,0.2507,0
430,14.348,0.22659,0.28734,0.25697,0
431,14.381,0.23017,0.28373,0.25695,0
432,14.414,0.23368,0.27398,0.25383,0
433,14.448,0.22678,0.27853,0.25266,0
434,14.481,0.23645,0.27621,0.25633,0
435,14.514,0.24261,0.28276,0.26268,0
436,14.548,0.24562,0.28313,0.26438,0
437,14.581,0.23054,0.28083,0.25568,0
438,14.615,0.22473,0.29023,0.25748,0
439,14.648,0.22035,0.27965,0.25,0
440,14.681,0.22564,0.27944,0.25254,0
441,14.715,0.22664,0.27534,0.25099,0
442,14.748,0.22479,0.27608,0.25043,0
443,14.781,0.23265,0.28739,0.26002,0
444,14.815,0.23325,0.29709,0.26517,0
445,14.848,0.23784,0.2889,0.26337,0
446,14.882,0.23257,0.28737,0.25997,0
447,14.915,0.22712,0.28748,0.2573,0
448,14.948,0.21852,0.28839,0.25346,0
449,14.982,0.22033,0.27772,0.24902,0
450,15.015,0.22576,0.28138,0.25357,0
451,15.048,0.23016,0.27985,0.255,0
452,15.082,0.22678,0.28105,0.25392,0
453,15.115,0.23067,0.28381,0.25724,0
454,15.148,0.23508,0.27871,0.25689,0
455,15.182,0.22728,0.27553,0.2514,0
456,15.215,0.22999,0.27894,0.25446,0
457,15.249,0.23244,0.27625,0.25435,0
458,15.282,0.2296,0.28692,0.25826,0
459,15.315,0.23352,0.28373,0.25862,0
460,15.349,0.23985,0.27636,0.25811,0
461,15.382,0.22869,0.28101,0.25485,0
462,15.415,0.22733,0.28318,0.25525,0
463,15.449,0.22162,0.28721,0.25441,0
464,15.482,0.23281,0.28926,0.26103,0
465,15.515,0.23185,0.28619,0.25902,0
466,15.549,0.23048,0.28558,0.25803,0
467,15.582,0.22841,0.28239,0.2554,0
468,15.616,0.22317,0.28292,0.25305,0
469,15.649,0.22066,0.27726,0.24896,0
470,15.682,0.22239,0.26778,0.24508,0
471,15.716,0.22801,0.27341,0.25071,0
472,15.749,0.2317,0.28404,0.25787,0
473,15.782,0.22539,0.28185,0.25362,0
474,15.816,0.22815,0.28233,0.25524,0
475,15.849,0.22939,0.2797,0.25454,0
476,15.883,0.23504,0.27476,0.2549,0
477,15.916,0.23976,0.28225,0.261,0
478,15.949,0.22863,0.29353,0.26108,0
479,15.983,0.23078,0.29271,0.26175,0
480,16.016,0.23177,0.29246,0.26212,0
481,16.049,0.22615,0.28334,0.25475,0
482,16.083,0.22091,0.28683,0.25387,0
483,16.116,0.22514,0.28813,0.25663,0
484,16.149,0.23504,0.28482,0.25993,0
485,16.183,0.23309,0.28751,0.2603,0
486,16.216,0.2291,0.28371,0.25641,0
487,16.25,0.24137,0.28636,0.26387,0
488,16.283,0.22414,0.28662,0.25538,0
489,16.316,0.22749,0.28107,0.25428,0
490,16.35,0.22771,0.28058,0.25414,0
491,16.383,0.23388,0.28124,0.25756,0
492,16.416,0.23166,0.28313,0.25739,0
493,16.45,0.22204,0.28895,0.25549,0
494,16.483,0.22374,0.28422,0.25398,0
495,16.517,0.21313,0.27542,0.24427,0
496,16.55,0.22338,0.279,0.25119,0
497,16.583,0.22173,0.27918,0.25045,0
498,16.617,0.22288,0.28395,0.25341,0
499,16.65,0.22445,0.28711,0.25578,0
500,16.683,0.22636,0.28267,0.25452,0
501,16.717,0.22127,0.28271,0.25199,0
502,16.75,0.22643,0.28657,0.2565,0
503,16.783,0.23063,0.28878,0.2597,0
504,16.817,0.22411,0.28301,0.25356,0
505,16.85,0.22373,0.27785,0.25079,0
506,16.884,0.22348,0.28192,0.2527,0
507,16.917,0.22998,0.28462,0.2573,0
508,16.95,0.2314,0.27909,0.25525,0
509,16.984,0.21945,0.28157,0.25051,0
510,17.017,0.22452,0.27942,0.25197,0
511,17.05,0.21976,0.28317,0.25147,0
512,17.084,0.2203,0.27407,0.24718,0
513,17.117,0.22145,0.28323,0.25234,0
514,17.15,0.21802,0.25994,0.23898,0
515,17.184,0.22195,0.26994,0.24594,0
516,17.217,0.22402,0.26985,0.24694,0
517,17.251,0.22376,0.26614,0.24495,0
518,17.284,0.2243,0.27578,0.25004,0
519,17.317,0.21757,0.27664,0.24711,0
520,17.351,0.22567,0.27068,0.24818,0
521,17.384,0.23475,0.27283,0.25379,0
522,17.417,0.23724,0.26866,0.25295,0
523,17.451,0.23959,0.26848,0.25404,0
524,17.484,0.22877,0.26955,0.24916,0
525,17.518,0.22429,0.26694,0.24561,0
526,17.551,0.23063,0.26575,0.24819,0
527,17.584,0.22849,0.25463,0.24156,0
528,17.618,0.22615,0.26148,0.24382,0
529,17.651,0.22967,0.27142,0.25055,0
530,17.684,0.23391,0.2732,0.25356,0
531,17.718,0.23352,0.27903,0.25628,0
532,17.751,0.22817,0.27879,0.25348,0
533,17.784,0.21908,0.27352,0.2463,0
534,17.818,0.22394,0.27895,0.25145,0
535,17.851,0.20991,0.28026,0.24508,0
536,17.885,0.2029,0.2735,0.2382,0
537,17.918,0.2209,0.26852,0.24471,0
538,17.951,0.23195,0.2775,0.25473,0
539,17.985,0.23014,0.28622,0.25818,0
540,18.018,0.22573,0.27697,0.25135,0
541,18.051,0.23317,0.28595,0.25956,0
542,18.085,0.23576,0.28231,0.25904,0
543,18.118,0.23576,0.28518,0.26047,0
544,18.151,0.23745,0.28365,0.26055,0
545,18.185,0.23346,0.27623,0.25484,0
546,18.218,0.23703,0.28039,0.25871,0
547,18.252,0.23797,0.28119,0.25958,0
548,18.285,0.23913,0.28255,0.26084,0
549,18.318,0.23833,0.28045,0.25939,0
550,18.352,0.23477,0.28658,0.26068,0
551,18.385,0.22944,0.27801,0.25373,0
552,18.418,0.22979,0.28158,0.25569,0
553,18.452,0.23215,0.27256,0.25235,0
554,18.485,0.22919,0.27593,0.25256,0
555,18.518,0.2322,0.27066,0.25143,0
556,18.552,0.23529,0.27806,0.25668,0
557,18.585,0.23952,0.26739,0.25345,0
558,18.619,0.22675,0.26225,0.2445,0
559,18.652,0.19953,0.21844,0.20899,0
560,18.685,0.1601,0.20384,0.18197,0
561,18.719,0.14675,0.18617,0.16646,0
562,18.752,0.14015,0.17436,0.15726,0
563,18.785,0.14428,0.16351,0.1539,0
564,18.819,0.12938,0.16513,0.14725,0
565,18.852,0.12021,0.17131,0.14576,0
566,18.886,0.09586,0.16845,0.13216,0
567,18.919,0.1133,0.16969,0.1415,0
568,18.952,0.1395,0.1815,0.1605,0
569,18.986,0.1291,0.16025,0.14468,0
570,19.019,0.14026,0.16881,0.15453,0
571,19.052,0.12358,0.17613,0.14986,0
572,19.086,0.10963,0.16591,0.13777,0
573,19.119,0.12702,0.12587,0.12645,0
574,19.152,0.14095,0.16327,0.15211,0
575,19.186,0.14142,0.16805,0.15473,0
576,19.219,0.14573,0.13676,0.14125,0
577,19.253,0.15711,0.15712,0.15712,0
578,19.286,0.15526,0.15976,0.15751,0
579,19.319,0.1443,0.15738,0.15084,0
580,19.353,0.13808,0.19671,0.1674,0
581,19.386,0.13747,0.17924,0.15836,0
582,19.419,0.14264,0.22966,0.18615,0
583,19.453,0.14185,0.21391,0.17788,0
584,19.486,0.16621,0.22859,0.1974,0
585,19.52,0.18488,0.22906,0.20697,0
586,19.553,0.19314,0.24989,0.22152,0
587,19.586,0.19915,0.25769,0.22842,0
588,19.62,0.18647,0.25972,0.22309,1
589,19.653,0.12295,0.17278,0.14787,0
590,19.686,0.12105,0.18666,0.15385,0
591,19.72,0.15003,0.1737,0.16186,0
592,19.753,0.15264,0.15035,0.1515,0
593,19.786,0.13971,0.15912,0.14941,0
594,19.82,0.14025,0.16084,0.15054,0
595,19.853,0.13326,0.15326,0.14326,0
596,19.887,0.09862,0.14291,0.12077,0
597,19.92,0.10182,0.16219,0.13201,0
598,19.953,0.10571,0.19231,0.14901,0
599,19.987,0.09566,0.16837,0.13201,0
600,20.02,0.08912,0.16343,0.12627,0
